item_id,quantity,price,last_updated
A121,,,2023.05.10
A121,low,355.95,Pending
A122,low,CALL,
A122,low,,2023.05.10
A122,,CALL,2023.05.10
A122,91,CALL,
A123,,TBD,2023-01-01
A123,low,CALL,2023-01-01
A123,32,TBD,
A124,low,120.3,2023-01-01
A124,2,CALL,Pending
A124,73,CALL,
A124,,CALL,2023.05.10
A124,61,CALL,2023-01-01
A124,61,,01/05/2023
A124,OUT OF STOCK,,2023-01-01
A124,low,,2023.05.10
A124,,48.4,2023.05.10
A124,,223.21,Pending
A125,low,,2023.05.10
A125,OUT OF STOCK,,01/05/2023
A125,86,CALL,2023-01-01
A126,OUT OF STOCK,13.1,2023.05.10
A126,80,CALL,Pending
A126,,CALL,01/05/2023
A126,,CALL,Pending
A126,,,
A126,low,TBD,Pending
A126,OUT OF STOCK,42.35,2023.05.10
A127,low,,01/05/2023
A127,64,,2023.05.10
A127,OUT OF STOCK,312.37,01/05/2023
A127,low,CALL,01/05/2023
A128,,CALL,2023.05.10
A128,39,194.13,2023.05.10
A128,,TBD,2023.05.10
A128,OUT OF STOCK,TBD,01/05/2023
A128,12,,2023-01-01
A128,42,481.16,
A128,low,,Pending
A129,65,,Pending
A129,15,TBD,Pending
A129,low,166.49,Pending
A129,88,TBD,2023.05.10
A129,OUT OF STOCK,44.23,
A130,OUT OF STOCK,TBD,2023.05.10
A130,low,,01/05/2023
A130,,,2023.05.10
A130,,208.89,
A130,,167.28,2023-01-01
A130,low,CALL,01/05/2023
A130,low,TBD,2023.05.10
A131,84,CALL,2023.05.10
A131,OUT OF STOCK,,2023-01-01
A131,,TBD,2023.05.10
A131,,,Pending
A131,OUT OF STOCK,TBD,2023.05.10
A132,,CALL,01/05/2023
A132,,,Pending
A132,85,CALL,
A132,OUT OF STOCK,351.22,01/05/2023
A132,99,TBD,2023-01-01
A133,OUT OF STOCK,6.14,2023-01-01
A133,OUT OF STOCK,TBD,2023-01-01
A133,low,TBD,
A133,,233.45,
A133,low,458.62,
A133,,TBD,2023-01-01
A133,,TBD,Pending
A134,,414.75,2023.05.10
A134,OUT OF STOCK,407.54,2023-01-01
A134,low,186.13,2023.05.10
A134,10,CALL,Pending
A134,low,TBD,Pending
A135,low,472.92,
A135,,CALL,01/05/2023
A135,,TBD,01/05/2023
A135,,,Pending
A135,OUT OF STOCK,,2023.05.10
A135,94,334.67,2023-01-01
A135,low,76.68,2023.05.10
A135,,CALL,2023-01-01
A135,OUT OF STOCK,TBD,01/05/2023
A136,low,TBD,Pending
A136,OUT OF STOCK,16.69,2023-01-01
A136,82,CALL,
A136,,CALL,2023-01-01
A137,low,,01/05/2023
A137,35,,2023-01-01
A137,OUT OF STOCK,,2023-01-01
A137,OUT OF STOCK,CALL,2023-01-01
A137,,TBD,2023.05.10
A138,,TBD,01/05/2023
A138,,TBD,2023-01-01
A138,OUT OF STOCK,CALL,Pending
A138,low,CALL,
A138,low,,2023-01-01
A139,70,CALL,2023.05.10
A139,low,290.71,
A139,low,485.58,Pending
A139,OUT OF STOCK,,2023-01-01
A139,,314.69,
A139,,CALL,01/05/2023
A140,82,338.33,01/05/2023
A140,12,,Pending
A140,low,TBD,01/05/2023
A140,,TBD,2023-01-01
A140,OUT OF STOCK,CALL,
A140,low,396.92,2023-01-01
A141,low,,
A141,OUT OF STOCK,TBD,
A141,53,330.26,
A141,low,CALL,2023.05.10
A141,74,332.06,2023.05.10
A141,,28.91,Pending
A141,low,TBD,2023-01-01
A141,8,CALL,
A141,low,,2023.05.10
A142,OUT OF STOCK,,2023-01-01
A142,87,CALL,01/05/2023
A142,OUT OF STOCK,CALL,01/05/2023
A142,OUT OF STOCK,251.23,Pending
A143,low,,
A143,95,,2023.05.10
A143,5,CALL,Pending
A144,OUT OF STOCK,,01/05/2023
A144,,238.34,2023-01-01
A144,OUT OF STOCK,,Pending
A144,,148.68,2023-01-01
A144,low,,01/05/2023
A144,100,,Pending
A144,48,CALL,
A145,,,2023.05.10
A145,,TBD,Pending
A145,OUT OF STOCK,CALL,
A145,,,2023.05.10
A145,99,CALL,01/05/2023
A146,OUT OF STOCK,279.47,
A146,low,TBD,Pending
A146,low,32.23,
A146,,TBD,
A146,32,,2023-01-01
A146,,,2023.05.10
A147,low,TBD,2023.05.10
A147,low,TBD,
A147,47,CALL,01/05/2023
A148,low,CALL,2023.05.10
A148,1,TBD,
A148,29,25.55,2023-01-01
A148,,393.33,Pending
A148,,CALL,Pending
A148,OUT OF STOCK,TBD,
A148,35,CALL,Pending
A149,,TBD,01/05/2023
A149,,,2023-01-01
A149,,CALL,
A149,low,CALL,2023-01-01
A149,,TBD,2023.05.10
A149,,TBD,2023.05.10
A150,low,,2023.05.10
A150,OUT OF STOCK,CALL,
A150,,,01/05/2023
A150,,TBD,Pending
A150,,CALL,01/05/2023
A150,54,,2023.05.10
A151,65,,01/05/2023
A151,,TBD,2023.05.10
A151,low,,
A151,,CALL,
A151,OUT OF STOCK,TBD,Pending
A151,low,TBD,Pending
A151,,CALL,2023-01-01
A151,OUT OF STOCK,,01/05/2023
A151,low,CALL,2023-01-01
A152,,,2023-01-01
A152,,,2023-01-01
A152,74,,2023.05.10
A152,low,TBD,Pending
A152,low,CALL,01/05/2023
A153,,,
A153,,,
A153,OUT OF STOCK,TBD,2023.05.10
A153,65,CALL,01/05/2023
A153,66,TBD,
A153,OUT OF STOCK,,2023-01-01
A153,7,,2023-01-01
A153,low,CALL,2023-01-01
A153,,TBD,2023.05.10
A153,OUT OF STOCK,CALL,Pending
A153,OUT OF STOCK,,2023.05.10
A153,low,CALL,01/05/2023
A154,low,CALL,Pending
A154,low,,2023-01-01
A154,,,
A155,67,,
A155,low,,2023.05.10
A155,21,TBD,
A155,,CALL,2023.05.10
A155,45,367.92,
A155,low,TBD,2023.05.10
A155,low,CALL,
A155,8,446.36,2023-01-01
A156,OUT OF STOCK,CALL,2023-01-01
A156,low,109.81,01/05/2023
A156,14,TBD,2023-01-01
A156,,TBD,01/05/2023
A156,52,TBD,
A157,low,CALL,01/05/2023
A157,low,TBD,2023-01-01
A157,OUT OF STOCK,TBD,
A158,low,34.41,
A158,,CALL,2023-01-01
A158,low,TBD,01/05/2023
A158,11,CALL,2023.05.10
A158,low,444.23,2023.05.10
A158,100,,2023.05.10
A158,OUT OF STOCK,CALL,2023-01-01
A158,48,,
A159,low,CALL,2023-01-01
A159,low,86.26,Pending
A159,low,TBD,Pending
A159,low,CALL,Pending
A159,low,CALL,Pending
A159,,231.57,2023.05.10
A159,low,181.57,2023-01-01
A160,OUT OF STOCK,55.71,Pending
A160,13,TBD,2023-01-01
A161,low,CALL,Pending
A161,low,424.28,Pending
A161,low,TBD,01/05/2023
A161,,473.87,Pending
A162,low,TBD,
A162,47,CALL,
A162,97,,Pending
A162,OUT OF STOCK,,
A162,low,CALL,2023-01-01
A162,low,,01/05/2023
A162,OUT OF STOCK,CALL,2023.05.10
A162,low,197.95,2023-01-01
A162,90,TBD,2023.05.10
A163,,,01/05/2023
A163,OUT OF STOCK,463.69,2023-01-01
A163,OUT OF STOCK,TBD,2023.05.10
A163,OUT OF STOCK,436.32,2023.05.10
A163,13,438.98,Pending
A163,OUT OF STOCK,CALL,01/05/2023
A163,low,TBD,01/05/2023
A163,22,CALL,01/05/2023
A164,OUT OF STOCK,484.03,
A164,10,TBD,
A164,,137.71,2023-01-01
A164,100,429.02,Pending
A165,64,TBD,01/05/2023
A165,OUT OF STOCK,TBD,2023.05.10
A165,OUT OF STOCK,388.1,Pending
A165,,TBD,01/05/2023
A165,OUT OF STOCK,CALL,2023-01-01
A166,OUT OF STOCK,227.6,01/05/2023
A166,OUT OF STOCK,CALL,Pending
A166,OUT OF STOCK,CALL,
A167,OUT OF STOCK,,01/05/2023
A167,,,2023-01-01
A167,83,TBD,Pending
A167,,,2023-01-01
A168,,,2023-01-01
A168,,,Pending
A168,low,TBD,Pending
A168,OUT OF STOCK,186.67,Pending
A169,OUT OF STOCK,TBD,2023-01-01
A169,OUT OF STOCK,TBD,2023-01-01
A169,,TBD,Pending
A169,,442.12,01/05/2023
A169,,300.27,2023.05.10
A169,OUT OF STOCK,,2023-01-01
A169,,432.11,01/05/2023
A169,OUT OF STOCK,414.3,2023.05.10
A170,,131.21,
A170,OUT OF STOCK,,
A170,low,127.39,01/05/2023
A170,low,,Pending
A170,low,CALL,2023-01-01
A170,OUT OF STOCK,138.82,
A170,low,CALL,
A170,OUT OF STOCK,TBD,2023-01-01
A170,89,CALL,2023-01-01
A171,OUT OF STOCK,,
A171,,,Pending
A171,,,2023.05.10
A171,OUT OF STOCK,TBD,2023.05.10
A171,,CALL,Pending
A172,OUT OF STOCK,CALL,Pending
A172,86,TBD,
A172,OUT OF STOCK,TBD,01/05/2023
A172,low,TBD,2023.05.10
A172,,24.57,2023.05.10
A172,,TBD,
A172,OUT OF STOCK,,
A173,OUT OF STOCK,,01/05/2023
A173,low,,Pending
A173,78,,01/05/2023
A173,low,TBD,2023.05.10
A173,16,TBD,2023.05.10
A173,80,405.7,2023.05.10
A173,,,2023-01-01
A173,low,477.45,2023-01-01
A174,low,TBD,
A174,,TBD,2023-01-01
A174,,TBD,2023.05.10
A174,,CALL,2023.05.10
A174,OUT OF STOCK,,2023.05.10
A174,OUT OF STOCK,TBD,2023.05.10
A174,,446.77,01/05/2023
A175,OUT OF STOCK,34.18,Pending
A175,OUT OF STOCK,TBD,Pending
A175,low,TBD,01/05/2023
A175,55,TBD,Pending
A175,low,,
A175,OUT OF STOCK,34.18,Pending
A175,OUT OF STOCK,458.18,2023-01-01
A175,33,452.45,2023.05.10
A175,low,414.61,01/05/2023
A176,64,CALL,2023-01-01
A176,29,,2023-01-01
A176,,,
A176,13,,2023.05.10
A176,63,CALL,
A176,,,Pending
A176,low,CALL,2023-01-01
A177,9,TBD,Pending
A177,OUT OF STOCK,TBD,01/05/2023
A177,,347.76,2023-01-01
A177,,,2023.05.10
A177,low,333.03,Pending
A177,,198.77,Pending
A177,low,,2023-01-01
A178,low,,01/05/2023
A178,OUT OF STOCK,TBD,01/05/2023
A178,74,CALL,01/05/2023
A179,low,139.82,2023-01-01
A179,low,TBD,01/05/2023
A179,,102.18,
A179,30,,
A179,70,TBD,Pending
A179,28,,
A179,OUT OF STOCK,CALL,2023-01-01
A179,OUT OF STOCK,,2023-01-01
A180,low,,
A180,OUT OF STOCK,,2023-01-01
A180,OUT OF STOCK,TBD,2023.05.10
A180,,TBD,01/05/2023
A180,low,TBD,2023-01-01
A180,,CALL,2023.05.10
A180,OUT OF STOCK,71.58,01/05/2023
A181,low,396.11,01/05/2023
A181,27,TBD,01/05/2023
A181,low,CALL,2023.05.10
A181,9,CALL,2023-01-01
A181,56,TBD,Pending
A181,low,TBD,2023-01-01
A181,45,TBD,Pending
A181,OUT OF STOCK,,Pending
A181,75,TBD,2023.05.10
A181,,121.73,
A182,OUT OF STOCK,,2023.05.10
A182,,,2023.05.10
A182,low,CALL,2023.05.10
A182,OUT OF STOCK,406.28,
A182,23,TBD,
A182,,,Pending
A183,,444.28,2023.05.10
A183,low,,2023.05.10
A183,OUT OF STOCK,216.4,2023.05.10
A183,OUT OF STOCK,493.61,
A184,,,2023-01-01
A184,OUT OF STOCK,,Pending
A184,9,TBD,2023-01-01
A184,60,199.21,01/05/2023
A184,low,148.58,
A185,,,2023.05.10
A185,low,9.99,
A185,OUT OF STOCK,,2023-01-01
A185,16,CALL,2023.05.10
A185,,CALL,Pending
A185,63,,Pending
A186,low,TBD,2023.05.10
A186,,,01/05/2023
A186,68,129.72,
A186,low,TBD,2023.05.10
A186,OUT OF STOCK,447.92,
A187,OUT OF STOCK,,01/05/2023
A187,38,TBD,Pending
A187,OUT OF STOCK,336.65,01/05/2023
A187,low,301.57,
A188,89,187.87,Pending
A188,OUT OF STOCK,TBD,
A188,33,CALL,2023-01-01
A189,,13.08,Pending
A189,OUT OF STOCK,CALL,
A189,99,,2023.05.10
A189,37,TBD,01/05/2023
A190,,CALL,2023-01-01
A190,low,,01/05/2023
A190,low,CALL,01/05/2023
A190,,CALL,
A190,,TBD,2023-01-01
A190,,,
A191,OUT OF STOCK,TBD,01/05/2023
A191,,CALL,Pending
A191,63,CALL,01/05/2023
A191,60,77.3,2023-01-01
A191,low,124.1,2023.05.10
A191,low,TBD,2023.05.10
A191,OUT OF STOCK,171.93,2023.05.10
A191,,CALL,2023.05.10
A191,low,,2023.05.10
A192,65,CALL,2023.05.10
A192,OUT OF STOCK,TBD,
A193,59,CALL,2023-01-01
A193,56,,
A193,OUT OF STOCK,,01/05/2023
A194,low,CALL,2023-01-01
A194,,TBD,2023-01-01
A194,low,CALL,Pending
A194,low,,01/05/2023
A194,,,2023-01-01
A194,OUT OF STOCK,156.97,2023.05.10
A194,OUT OF STOCK,192.31,2023.05.10
A195,97,CALL,2023.05.10
A195,,,2023.05.10
A195,13,430.95,01/05/2023
A196,OUT OF STOCK,CALL,
A196,low,CALL,Pending
A196,low,,Pending
A196,OUT OF STOCK,CALL,2023-01-01
A197,,TBD,2023-01-01
A197,55,163.74,Pending
A198,,320.71,Pending
A198,low,TBD,2023.05.10
A198,low,CALL,
A198,OUT OF STOCK,357.38,Pending
A199,10,315.88,Pending
A199,,TBD,2023-01-01
A199,OUT OF STOCK,TBD,01/05/2023
A199,49,TBD,2023-01-01
A199,,TBD,01/05/2023
A199,OUT OF STOCK,,
A200,56,210.84,2023-01-01
A200,low,TBD,2023.05.10
A200,OUT OF STOCK,TBD,01/05/2023
A200,,TBD,2023-01-01
A201,94,,2023.05.10
A201,9,,01/05/2023
A201,OUT OF STOCK,,2023-01-01
A201,,,2023.05.10
A201,28,,01/05/2023
A201,low,,
A202,OUT OF STOCK,CALL,
A202,low,CALL,2023.05.10
A202,,TBD,01/05/2023
A202,OUT OF STOCK,TBD,2023.05.10
A202,90,TBD,2023-01-01
A203,54,TBD,Pending
A203,29,CALL,
A203,2,70.33,
A204,53,TBD,01/05/2023
A204,low,TBD,01/05/2023
A204,OUT OF STOCK,28.01,
A204,OUT OF STOCK,TBD,Pending
A204,,CALL,01/05/2023
A204,,217.36,2023.05.10
A204,59,,2023-01-01
A204,6,TBD,2023-01-01
A205,63,307.88,2023.05.10
A205,low,TBD,
A205,low,71.45,2023.05.10
A205,OUT OF STOCK,CALL,
A205,low,,2023.05.10
A205,OUT OF STOCK,,
A205,low,CALL,2023.05.10
A205,66,381.57,Pending
A205,,CALL,2023.05.10
A206,16,CALL,2023.05.10
A206,OUT OF STOCK,,Pending
A206,OUT OF STOCK,CALL,2023.05.10
A206,OUT OF STOCK,CALL,01/05/2023
A207,70,CALL,2023-01-01
A207,OUT OF STOCK,315.74,Pending
A207,low,TBD,2023-01-01
A207,25,TBD,Pending
A207,OUT OF STOCK,,01/05/2023
A207,6,CALL,
A207,90,TBD,Pending
A208,57,27.86,Pending
A208,low,421.86,01/05/2023
A208,low,TBD,2023-01-01
A208,10,CALL,2023-01-01
A208,low,14.16,Pending
A208,low,,2023.05.10
A209,OUT OF STOCK,302.89,Pending
A209,18,216.43,2023-01-01
A209,58,,Pending
A209,low,,Pending
A209,OUT OF STOCK,CALL,2023-01-01
A209,80,103.9,01/05/2023
A209,,CALL,2023-01-01
A209,low,349.92,2023-01-01
A209,,TBD,2023-01-01
A210,low,TBD,01/05/2023
A210,,,01/05/2023
A210,low,111.84,01/05/2023
A210,low,TBD,01/05/2023
A210,34,TBD,
A211,low,,Pending
A211,OUT OF STOCK,TBD,Pending
A212,,225.34,01/05/2023
A212,low,,2023-01-01
A212,low,107.01,01/05/2023
A212,94,CALL,Pending
A212,OUT OF STOCK,CALL,01/05/2023
A212,87,CALL,
A213,21,265.59,2023.05.10
A213,100,TBD,Pending
A214,,TBD,2023.05.10
A214,OUT OF STOCK,,
A214,OUT OF STOCK,349.8,Pending
A214,33,234.13,01/05/2023
A214,70,TBD,2023-01-01
A214,OUT OF STOCK,349.8,Pending
A214,19,,2023.05.10
A216,OUT OF STOCK,CALL,01/05/2023
A216,74,140.13,Pending
A216,OUT OF STOCK,TBD,2023.05.10
A216,,336.43,
A216,OUT OF STOCK,CALL,2023.05.10
A218,low,CALL,2023-01-01
A218,OUT OF STOCK,TBD,2023-01-01
A218,OUT OF STOCK,CALL,
A218,,TBD,
A218,low,CALL,01/05/2023
A219,OUT OF STOCK,CALL,Pending
A219,33,CALL,01/05/2023
A219,low,412.47,2023-01-01
A219,low,CALL,2023.05.10
A220,OUT OF STOCK,,
A220,32,,2023-01-01
A220,OUT OF STOCK,CALL,2023-01-01
A220,,CALL,01/05/2023
A221,low,,Pending
A221,low,TBD,
A222,OUT OF STOCK,CALL,01/05/2023
A222,OUT OF STOCK,,2023.05.10
A222,low,TBD,
A222,low,TBD,01/05/2023
A222,,TBD,2023.05.10
A222,43,CALL,2023-01-01
A222,,CALL,Pending
A222,,,
A222,low,,Pending
A222,,,
A222,,CALL,Pending
A224,low,TBD,Pending
A224,OUT OF STOCK,,2023.05.10
A224,,CALL,01/05/2023
A224,79,,Pending
A224,,160.65,2023.05.10
A224,,TBD,
A225,27,377.29,
A225,low,TBD,01/05/2023
A225,low,TBD,2023-01-01
A225,5,,2023.05.10
A226,low,,01/05/2023
A226,70,CALL,2023.05.10
A226,low,,Pending
A226,,246.48,2023.05.10
A227,,,01/05/2023
A227,OUT OF STOCK,299.22,2023-01-01
A227,OUT OF STOCK,CALL,01/05/2023
A227,low,TBD,
A228,OUT OF STOCK,474.87,2023-01-01
A228,,396.14,2023-01-01
A228,low,,2023-01-01
A229,OUT OF STOCK,TBD,
A229,48,80.27,
A229,OUT OF STOCK,,Pending
A229,OUT OF STOCK,TBD,
A230,low,,
A230,OUT OF STOCK,,2023.05.10
A230,OUT OF STOCK,498.23,01/05/2023
A230,OUT OF STOCK,TBD,2023-01-01
A230,low,,01/05/2023
A230,low,361.69,Pending
A231,low,TBD,01/05/2023
A231,29,,2023-01-01
A231,67,310.89,
A231,74,CALL,2023.05.10
A231,73,TBD,2023.05.10
A231,,,Pending
A232,OUT OF STOCK,92.13,
A232,OUT OF STOCK,,
A232,,28.17,Pending
A232,,CALL,Pending
A232,53,CALL,Pending
A233,4,351.2,2023-01-01
A233,64,TBD,2023.05.10
A233,,TBD,2023.05.10
A233,59,374.85,
A233,OUT OF STOCK,,01/05/2023
A233,52,289.35,
A234,9,CALL,2023.05.10
A234,low,366.93,2023-01-01
A234,82,CALL,
A234,low,455.19,01/05/2023
A234,low,TBD,2023-01-01
A235,OUT OF STOCK,CALL,2023.05.10
A235,OUT OF STOCK,TBD,2023-01-01
A235,47,TBD,2023-01-01
A235,,CALL,01/05/2023
A235,54,TBD,
A235,OUT OF STOCK,,2023.05.10
A235,,362.06,2023.05.10
A236,,236.01,01/05/2023
A236,,,
A236,,227.08,2023.05.10
A236,OUT OF STOCK,CALL,2023.05.10
A236,OUT OF STOCK,371.01,2023.05.10
A237,,CALL,2023-01-01
A237,low,137.3,01/05/2023
A237,OUT OF STOCK,TBD,01/05/2023
A237,OUT OF STOCK,TBD,Pending
A237,,,01/05/2023
A238,20,CALL,01/05/2023
A238,,246.61,2023.05.10
A238,low,TBD,01/05/2023
A238,OUT OF STOCK,CALL,2023-01-01
A238,,,01/05/2023
A239,11,CALL,01/05/2023
A239,,479.12,2023-01-01
A239,30,217.65,2023-01-01
A239,,CALL,Pending
A239,low,,Pending
A240,low,TBD,Pending
A240,OUT OF STOCK,169.4,2023.05.10
A240,OUT OF STOCK,TBD,2023-01-01
A240,OUT OF STOCK,CALL,2023-01-01
A241,,CALL,2023.05.10
A241,OUT OF STOCK,TBD,
A241,OUT OF STOCK,CALL,
A241,,TBD,2023-01-01
A241,OUT OF STOCK,TBD,
A241,OUT OF STOCK,,Pending
A241,low,355.84,2023.05.10
A242,OUT OF STOCK,337.94,2023.05.10
A242,80,174.83,
A242,,CALL,Pending
A242,,TBD,2023.05.10
A242,59,CALL,Pending
A242,,CALL,
A242,80,CALL,Pending
A243,5,TBD,Pending
A243,low,128.32,Pending
A243,,190.54,01/05/2023
A243,OUT OF STOCK,TBD,
A243,OUT OF STOCK,CALL,01/05/2023
A244,OUT OF STOCK,,
A244,OUT OF STOCK,,2023-01-01
A244,low,,
A244,OUT OF STOCK,CALL,Pending
A245,OUT OF STOCK,189.38,
A245,OUT OF STOCK,,01/05/2023
A245,67,CALL,2023-01-01
A245,62,TBD,2023-01-01
A245,16,,
A245,,81.72,2023-01-01
A245,,291.02,01/05/2023
A245,,TBD,2023-01-01
A246,,76.33,
A246,low,,2023-01-01
A246,,78.27,
A246,low,369.45,01/05/2023
A246,low,183.41,2023.05.10
A246,low,CALL,2023.05.10
A247,low,,Pending
A247,low,12.14,2023-01-01
A247,OUT OF STOCK,135.88,2023-01-01
A247,OUT OF STOCK,TBD,2023.05.10
A247,low,TBD,2023-01-01
A247,low,TBD,2023.05.10
A248,24,TBD,Pending
A248,OUT OF STOCK,429.45,Pending
A248,,CALL,01/05/2023
A248,OUT OF STOCK,CALL,2023-01-01
A248,96,CALL,Pending
A248,96,CALL,Pending
A249,9,,
A249,low,65.66,2023-01-01
A249,,CALL,01/05/2023
A249,,CALL,Pending
A251,67,TBD,2023.05.10
A251,79,TBD,2023-01-01
A251,low,CALL,01/05/2023
A251,77,CALL,Pending
A252,low,TBD,
A252,OUT OF STOCK,TBD,01/05/2023
A252,OUT OF STOCK,43.44,2023-01-01
A252,,TBD,2023.05.10
A252,75,TBD,2023-01-01
A252,9,,
A253,73,,
A253,86,,
A253,OUT OF STOCK,TBD,2023-01-01
A254,,CALL,2023-01-01
A254,low,51.73,
A254,OUT OF STOCK,390.51,2023-01-01
A254,low,TBD,2023.05.10
A255,83,TBD,Pending
A255,OUT OF STOCK,CALL,2023.05.10
A255,27,TBD,01/05/2023
A256,OUT OF STOCK,TBD,Pending
A256,OUT OF STOCK,130.23,01/05/2023
A256,low,TBD,2023.05.10
A257,OUT OF STOCK,TBD,2023-01-01
A257,,215.35,Pending
A257,low,,
A257,81,,
A257,OUT OF STOCK,,2023.05.10
A258,low,TBD,2023-01-01
A258,OUT OF STOCK,CALL,Pending
A258,,177.49,2023.05.10
A258,low,376.79,
A258,86,TBD,2023.05.10
A258,,CALL,Pending
A258,low,CALL,
A258,16,,2023.05.10
A258,,,
A259,,454.14,Pending
A259,51,313.35,2023-01-01
A259,,,2023-01-01
A259,40,478.02,Pending
A260,,CALL,2023.05.10
A260,,35.36,Pending
A260,73,394.31,2023.05.10
A260,,CALL,2023-01-01
A261,61,CALL,01/05/2023
A261,,TBD,Pending
A261,96,TBD,Pending
A261,OUT OF STOCK,TBD,01/05/2023
A261,,,2023.05.10
A261,low,,2023.05.10
A262,OUT OF STOCK,TBD,01/05/2023
A262,low,,Pending
A262,83,79.98,2023.05.10
A263,57,,2023-01-01
A263,low,TBD,01/05/2023
A263,OUT OF STOCK,TBD,2023-01-01
A263,OUT OF STOCK,CALL,2023-01-01
A263,75,CALL,
A263,OUT OF STOCK,TBD,2023.05.10
A263,OUT OF STOCK,CALL,Pending
A263,61,,Pending
A263,low,TBD,Pending
A263,low,182.96,Pending
A263,OUT OF STOCK,,Pending
A263,OUT OF STOCK,,01/05/2023
A264,low,290.78,
A264,low,CALL,
A264,,331.01,Pending
A264,low,TBD,2023-01-01
A264,low,TBD,
A264,low,,Pending
A265,low,,
A265,,,2023-01-01
A265,OUT OF STOCK,TBD,2023-01-01
A265,,CALL,2023-01-01
A265,22,TBD,Pending
A265,60,CALL,Pending
A266,low,,Pending
A266,79,CALL,01/05/2023
A266,low,TBD,2023.05.10
A266,OUT OF STOCK,TBD,
A266,,,2023.05.10
A266,8,CALL,
A266,86,134.33,2023-01-01
A266,OUT OF STOCK,,01/05/2023
A267,OUT OF STOCK,,2023-01-01
A267,OUT OF STOCK,TBD,01/05/2023
A267,,6.45,01/05/2023
A267,low,445.29,2023.05.10
A267,91,,2023-01-01
A268,18,CALL,
A268,,,01/05/2023
A268,,,
A269,OUT OF STOCK,480.43,2023.05.10
A269,29,475.48,01/05/2023
A269,97,TBD,2023.05.10
A269,low,65.45,
A269,97,TBD,2023.05.10
